Municipali,Population,Density,Foreigners,Owners,SecondaryE,University,Phd_Master,Income,Insurance,Rent,Expenses,Area,Regimes,PostCode
ATHENS,     7063.000000,        0.021260,       28.670000,       36.280000,       51.280000,       19.820000,        1.810000,    15451.627236,      212.984693,    632.03853100000,    178.58391900000, 332220.13690400001,2,10434
ATHENS,     4900.000000,        0.017464,       22.040000,       37.410000,       42.290000,        9.000000,        0.900000,    10992.847667,      118.411906,    623.70041300000,     79.89062200000, 280581.94089799997,2,10435
ATHENS,     3221.000000,        0.015488,       35.700000,       30.220000,       45.760000,       11.270000,        0.560000,    10294.894892,      108.397063,    624.92846800000,     72.29456200000, 207968.06178799999,2,10436
ATHENS,    10919.000000,        0.045376,       29.010000,       34.680000,       51.410000,       13.750000,        0.960000,    13460.386920,      115.997584,    610.38117300000,     98.65851900000, 240635.08640900001,2,10440
ATHENS,     8036.000000,        0.006106,       12.880000,       49.190000,       46.040000,        8.550000,        0.540000,    12498.298872,      146.164564,    492.58520200000,     99.11653100000,1315988.95017999993,2,10442
ATHENS,    25933.000000,        0.021544,       12.450000,       46.670000,       46.700000,       10.250000,        0.590000,    12352.070140,      141.767228,    480.80977200000,    106.90208000000,1203704.01683999994,2,10443
ATHENS,    19455.000000,        0.023705,       13.190000,       42.690000,       47.200000,       11.500000,        0.720000,    11548.985186,      133.529689,    577.47749300000,     92.82692000000, 820720.17517199996,2,10444
ATHENS,    25094.000000,        0.031170,       16.610000,       40.520000,       48.810000,       12.310000,        0.690000,    11981.844040,      138.628538,    568.08814300000,    108.35858600000, 805075.93622300006,2,10445
ATHENS,    22598.000000,        0.048898,       27.220000,       36.020000,       49.940000,       13.990000,        0.760000,    11195.795606,      108.432894,    608.67835900000,    117.53085800000, 462145.82077900000,2,10446
ATHENS,     1317.000000,        0.006529,       49.810000,       35.360000,       36.070000,       10.100000,        0.380000,    12694.280728,      157.322690,    529.16688900000,     64.62117300000, 201720.18595799999,2,10553
ATHENS,      419.000000,        0.003104,       53.700000,       18.720000,       34.840000,        9.550000,        1.190000,    14777.127622,      304.577641,    655.82979600000,    178.80931400000, 134969.72745700000,1,10554
ATHENS,      651.000000,        0.001160,       45.310000,       25.610000,       27.800000,       14.900000,        3.990000,    26649.565800,      445.731897,    855.96352000000,    442.11401100000, 561343.17192300002,1,10557
ATHENS,      142.000000,        0.002897,       33.100000,       31.080000,       60.560000,       15.490000,        1.410000,    20021.223478,      462.311351,    623.95620800000,    195.56728700000,  49023.27543700000,1,10560
ATHENS,      329.000000,        0.007299,       74.550000,       17.650000,       26.990000,        4.870000,        0.910000,    19492.327378,      441.641887,    916.81653600000,    164.76259600000,  45076.45088610000,1,10562
ATHENS,      488.000000,        0.003906,        7.450000,       50.000000,       23.690000,        6.550000,        0.200000,    21802.798402,      404.940631,    565.43139800000,    176.92573900000, 124950.15436600000,1,10564
ATHENS,     1406.000000,        0.011491,        9.520000,       39.000000,       34.780000,       35.850000,       11.380000,    26202.087495,      403.190068,    777.74439000000,    301.89551100000, 122351.42299000001,1,10672
ATHENS,     1992.000000,        0.010772,       19.300000,       38.180000,       45.730000,       26.810000,        3.260000,    22312.894513,      365.597651,    679.35333000000,    318.75971300000, 184924.42128600000,2,10682
ATHENS,    13511.000000,        0.045308,       14.370000,       40.050000,       50.480000,       19.920000,        2.050000,    14097.118390,      178.543854,    600.27050400000,    177.49452900000, 298200.54353999998,2,11362
ATHENS,     2834.000000,        0.029096,       11.970000,       32.560000,       42.730000,       27.200000,        3.740000,    17602.319733,      236.933629,    775.96516100000,    200.48889700000,  97401.93468239999,2,10683
ATHENS,    19642.000000,        0.023300,        5.830000,       44.750000,       47.990000,       21.580000,        1.850000,    15545.312044,      219.407179,    607.02587100000,    185.82858500000, 843011.63619800005,2,11141
ATHENS,    18378.000000,        0.021114,        8.330000,       52.440000,       47.440000,       14.860000,        0.800000,    14860.840870,      204.279185,    538.92844300000,    134.45018500000, 870428.12210200005,2,11142
ATHENS,     6433.000000,        0.043280,       23.390000,       30.900000,       41.430000,       24.150000,        4.070000,    20829.759773,      302.831605,    641.10780700000,    182.95810700000, 148636.57717599999,1,10680
ATHENS,     6433.000000,        0.054607,       23.390000,       30.900000,       41.430000,       24.150000,        4.070000,    17452.157047,      245.371739,    749.28580400000,    178.26487100000, 117805.01637899999,1,10681
ATHENS,    16526.000000,        0.017588,       18.100000,       46.000000,       49.070000,       15.760000,        1.010000,    14385.847194,      191.909310,    587.41851800000,    144.02364900000, 939605.08795900003,2,11143
ATHENS,    18981.000000,        0.038820,        9.830000,       40.610000,       50.360000,       16.400000,        1.040000,    12658.391772,      155.855555,    620.14149100000,    133.01082100000, 488946.77431499999,2,11144
ATHENS,    12232.000000,        0.051672,       25.160000,       37.480000,       52.890000,       17.020000,        1.410000,    12832.573615,      147.678071,    633.96244700000,    171.48580100000, 236725.82312799999,2,11251
ATHENS,    10594.000000,        0.048168,       27.920000,       39.350000,       51.140000,       17.480000,        1.160000,    12691.072664,      154.575059,    620.39069800000,    147.85310800000, 219940.55960600000,2,11252
ATHENS,    12756.000000,        0.050280,       25.930000,       37.790000,       50.840000,       16.130000,        1.080000,    12353.820992,      124.507658,    612.93120800000,    153.23861700000, 253701.16000000000,2,11253
ATHENS,    10595.000000,        0.048398,       22.970000,       36.820000,       50.650000,       15.610000,        0.970000,    11962.825859,      132.811671,    608.15906200000,    126.93736900000, 218913.70903900001,2,11254
ATHENS,    12799.000000,        0.032760,       25.970000,       39.080000,       50.360000,       15.010000,        1.000000,    12706.480831,      150.699071,    617.77413800000,    146.12801800000, 390686.07041400002,2,11255
ATHENS,     6786.000000,        0.048057,       20.320000,       36.630000,       47.490000,       15.290000,        1.240000,    12276.855241,      136.722543,    601.71626700000,    124.03608000000, 141208.03456400000,2,11256
ATHENS,     9119.000000,        0.039593,       18.500000,       38.650000,       51.070000,       19.490000,        2.590000,    13991.282656,      164.999405,    636.27597900000,    172.48433100000, 230320.26772800001,2,11361
ATHENS,    21835.000000,        0.036604,       14.550000,       42.740000,       47.640000,       17.680000,        1.200000,    13348.621654,      156.580385,    571.87837300000,    147.90200700000, 596512.77233800001,2,11364
ATHENS,     8319.000000,        0.011853,       20.950000,       33.820000,       44.550000,       26.660000,        4.870000,    16776.120925,      237.958341,    692.41195800000,    212.35508000000, 701833.90646099998,1,11471
ATHENS,     8336.000000,        0.040683,       19.580000,       31.220000,       50.040000,       21.210000,        2.290000,    13897.061036,      182.889325,    719.55694500000,    171.29621500000, 204899.95261199999,2,11472
ATHENS,     9869.000000,        0.029218,       16.640000,       33.670000,       47.590000,       23.570000,        2.690000,    15240.133163,      203.408198,    687.28838300000,    201.69211900000, 337768.05589500000,2,11473
ATHENS,    14746.000000,        0.021626,       16.970000,       38.360000,       48.860000,       18.360000,        1.480000,    13253.670792,      170.171910,    682.75804000000,    164.52500900000, 681879.63078999997,2,11474
ATHENS,     9426.000000,        0.042450,        8.610000,       37.550000,       47.850000,       17.580000,        1.260000,    13910.136790,      175.550794,    688.07208800000,    160.71686300000, 222048.06327000001,2,11475
ATHENS,    10055.000000,        0.015765,       16.260000,       49.620000,       48.060000,       15.040000,        1.090000,    14297.401665,      201.898516,    503.18747200000,    152.41239500000, 637819.94335299998,2,11476
ATHENS,     5690.000000,        0.009156,       14.410000,       37.110000,       41.630000,       29.110000,        6.730000,    22815.956331,      361.055223,    788.08353300000,    307.18296400000, 621430.88650899997,1,11521
ATHENS,    11579.000000,        0.024187,       15.860000,       42.350000,       47.130000,       16.450000,        1.360000,    13544.720338,      166.021722,    571.96400300000,    136.42526100000, 478737.97204399999,2,11522
ATHENS,    14405.000000,        0.042158,        9.680000,       35.790000,       49.340000,       19.000000,        1.560000,    14594.552920,      178.020623,    713.84375800000,    166.83189900000, 341688.14718899998,2,11523
ATHENS,    16304.000000,        0.032156,       16.690000,       36.430000,       49.870000,       20.980000,        1.930000,    15936.998836,      210.310155,    706.53470500000,    201.07861000000, 507024.95535800001,2,11526
ATHENS,    14462.000000,        0.005784,       15.250000,       36.700000,       47.250000,       19.930000,        1.890000,    15642.309999,      196.281276,    693.13597700000,    160.49366500000,2500463.35442000022,2,11527
ATHENS,     8014.000000,        0.009629,        9.640000,       36.320000,       46.130000,       24.790000,        4.990000,    21283.903757,      314.531504,    741.81226500000,    237.44824000000, 832314.74001499999,1,11528
ATHENS,    15540.000000,        0.046119,       13.240000,       38.160000,       48.560000,       15.610000,        1.000000,    13768.410498,      171.601365,    644.33589800000,    139.25521000000, 336951.34337800002,2,11633
