IDs,Income,standard_predy,standard_resid
10434,15451.6300,15259.5207,192.1093,
10435,10992.8500,11510.0830,-517.2330,
10436,10294.8900,11113.2143,-818.3243,
10440,13460.3900,11414.5332,2045.8568,
10442,12498.3000,12610.2933,-111.9933,
10443,12352.0700,12436.2420,-84.1720,
10444,11548.9900,12109.5489,-560.5589,
10445,11981.8400,12311.7498,-329.9098,
10446,11195.8000,11114.4037,81.3963,
10553,12694.2800,13052.7563,-358.4763,
10554,14777.1300,18891.2061,-4114.0761,
10557,26649.5700,24487.4113,2162.1587,
10560,20021.2200,25144.7623,-5123.5423,
10562,19492.3300,24325.2542,-4832.9242,
10564,21802.8000,22870.2012,-1067.4012,
10672,26202.0900,22800.8185,3401.2715,
10682,22312.8900,21310.4795,1002.4105,
11362,14097.1200,13894.0704,203.0496,
10683,17602.3200,16209.0716,1393.2484,
11141,15545.3100,15514.4523,30.8577,
11142,14860.8400,14914.5898,-53.7498,
10680,20829.7600,18821.8235,2007.9365,
10681,17452.1600,16543.6941,908.4659,
11143,14385.8500,14424.1537,-38.3037,
11144,12658.3900,12994.8714,-336.4814,
11251,12832.5700,12670.5571,162.0129,
11252,12691.0700,12944.1229,-253.0529,
11253,12353.8200,11751.9310,601.8890,
11254,11962.8300,12081.0029,-118.1729,
11255,12706.4800,12790.2917,-83.8117,
11256,12276.8600,12236.0236,40.8364,
11361,13991.2800,13357.2470,634.0330,
11364,13348.6200,13023.4174,325.2026,
11471,16776.1200,16249.9082,526.2118,
11472,13897.0600,14066.5358,-169.4758,
11473,15240.1300,14880.0967,360.0333,
11474,13253.6700,13562.2231,-308.5531,
11475,13910.1400,13775.5252,134.6148,
11476,14297.4000,14820.2294,-522.8294,
11521,22815.9600,21130.4811,1685.4789,
11522,13544.7200,13397.6872,147.0328,
11523,14594.5500,13873.4538,721.0962,
11526,15937.0000,15153.6626,783.3374,
11527,15642.3100,14597.4121,1044.8979,
11528,21283.9000,19285.6959,1998.2041,
11633,13768.4100,13618.9186,149.4914,
11634,16016.3800,15917.2680,99.1120,
11635,15134.7300,14768.6881,366.0419,
11636,14985.6500,15219.8734,-234.2234,
11741,13429.8900,13674.8212,-244.9312,
10438,11233.1300,11659.9495,-426.8195,
10439,11690.3900,11293.6091,396.7809,
10441,11780.0800,12381.5289,-601.4489,
10447,14937.0300,15369.7399,-432.7099,
10551,19782.8800,24014.4200,-4231.5400,
10552,15647.2100,17900.4220,-2253.2120,
11744,12496.7000,13126.1037,-629.4037,
11745,12299.6700,13241.8736,-942.2036,
11851,12613.3700,12978.2196,-364.8496,
11852,12088.4400,13021.8315,-933.3915,
11853,11988.7200,12188.8434,-200.1234,
11854,12175.6900,12678.0901,-502.4001,
10555,17664.3200,21751.7531,-4087.4331,
10556,18445.6600,21532.5040,-3086.8440,
10558,19871.2600,20960.3946,-1089.1346,
10431,17885.7200,18423.3689,-537.6489,
10432,17303.3800,18998.2536,-1694.8736,
10433,16837.4300,17090.8258,-253.3958,
10437,11588.6300,12317.6969,-729.0669,
10673,28401.3500,24000.9399,4400.4101,
10674,37644.1300,26620.0353,11024.0947,
10675,28192.5500,24732.8276,3459.7224,
10676,25006.1300,23728.1670,1277.9630,
10677,21019.8200,21211.7579,-191.9379,
10678,21579.5600,19337.2373,2242.3227,
10679,22395.2400,20940.1745,1455.0655,
11145,13267.4500,13255.3536,12.0964,
11257,17282.2000,15540.6194,1741.5806,
11524,16321.6600,15548.1524,773.5076,
11525,16073.8100,15525.5535,548.2565,
11631,13125.8000,13692.2660,-566.4660,
11632,13760.0300,14065.7428,-305.7128,
11855,13523.2400,14189.0457,-665.8057,
11363,13492.9300,13250.1995,242.7305,
11742,15337.3900,15021.6373,315.7527,
11743,12527.3400,13076.9411,-549.6011,
10559,19499.9300,17841.3477,1658.5823,
10561,20758.1100,26458.2747,-5700.1647,
10563,23376.2100,29025.0358,-5648.8258,
10671,29740.8500,25590.7935,4150.0565,
