IDs,Income,predy,resid
10434,15451.6300,14990.1680,461.4620,
10435,10992.8500,11750.6843,-757.8343,
10436,10294.8900,11407.7929,-1112.9029,
10440,13460.3900,11668.1300,1792.2600,
10442,12498.3000,12701.2571,-202.9571,
10443,12352.0700,12550.8782,-198.8082,
10444,11548.9900,12268.6180,-719.6280,
10445,11981.8400,12443.3179,-461.4779,
10446,11195.8000,11408.8206,-213.0206,
10553,12694.2800,13083.5415,-389.2615,
10554,14777.1300,18826.6262,-4049.4962,
10557,26649.5700,24873.5227,1776.0473,
10560,20021.2200,25583.8134,-5562.5934,
10562,19492.3300,24698.3062,-5205.9762,
10564,21802.8000,23126.0703,-1323.2703,
10672,26202.0900,23051.0999,3150.9901,
10682,22312.8900,20218.1473,2094.7427,
11362,14097.1200,13810.4300,286.6900,
10683,17602.3200,15810.5723,1791.7477,
11141,15545.3100,15210.4269,334.8831,
11142,14860.8400,14692.1506,168.6894,
10680,20829.7600,18751.6559,2078.1041,
10681,17452.1600,16290.0571,1162.1029,
11143,14385.8500,14268.4177,117.4323,
11144,12658.3900,13033.5294,-375.1394,
11251,12832.5700,12753.3245,79.2455,
11252,12691.0700,12989.6832,-298.6132,
11253,12353.8200,11959.6390,394.1810,
11254,11962.8300,12243.9545,-281.1245,
11255,12706.4800,12856.7742,-150.2942,
11256,12276.8600,12377.8911,-101.0311,
11361,13991.2800,13346.6190,644.6610,
11364,13348.6200,13058.1929,290.4271,
11471,16776.1200,15972.6111,803.5089,
11472,13897.0600,13959.4387,-62.3787,
11473,15240.1300,14662.3488,577.7812,
11474,13253.6700,13523.7167,-270.0467,
11475,13910.1400,13708.0079,202.1321,
11476,14297.4000,14610.6240,-313.2240,
11521,22815.9600,21246.2416,1569.7184,
11522,13544.7200,13381.5590,163.1610,
11523,14594.5500,13792.6175,801.9325,
11526,15937.0000,14898.7075,1038.2925,
11527,15642.3100,14418.1115,1224.1985,
11528,21283.9000,19252.8864,2031.0136,
11633,13768.4100,13572.7012,195.7088,
11634,16016.3800,15613.1817,403.1983,
11635,15134.7300,14566.0926,568.6374,
11636,14985.6500,14955.9131,29.7369,
11741,13429.8900,13621.0006,-191.1106,
10438,11233.1300,11880.1677,-647.0377,
10439,11690.3900,11563.6526,126.7374,
10441,11780.0800,12503.6065,-723.5265,
10447,14937.0300,15085.3966,-148.3666,
10551,19782.8800,24362.4389,-4579.5589,
10552,15647.2100,17756.0493,-2108.8393,
11744,12496.7000,13146.9131,-650.2131,
11745,12299.6700,13246.9373,-947.2673,
11851,12613.3700,13019.1424,-405.7724,
11852,12088.4400,13056.8227,-968.3827,
11853,11988.7200,12337.1278,-348.4078,
11854,12175.6900,12759.8329,-584.1429,
10555,17664.3200,20599.4041,-2935.0841,
10556,18445.6600,20409.9747,-1964.3147,
10558,19871.2600,19915.6768,-44.4168,
10431,17885.7200,17723.7072,162.0128,
10432,17303.3800,18220.4029,-917.0229,
10433,16837.4300,16572.4008,265.0292,
10437,11588.6300,12448.4561,-859.8261,
10673,28401.3500,24347.8732,4053.4768,
10674,37644.1300,27177.8979,10466.2321,
10675,28192.5500,25138.7036,3053.8464,
10676,25006.1300,24053.1325,952.9975,
10677,21019.8200,20132.8527,886.9673,
10678,21579.5600,19308.5787,2270.9813,
10679,22395.2400,21040.6086,1354.6314,
11145,13267.4500,13258.5840,8.8660,
11257,17282.2000,15233.0351,2049.1649,
11524,16321.6600,15239.5435,1082.1165,
11525,16073.8100,15220.0182,853.7918,
11631,13125.8000,13636.0727,-510.2727,
11632,13760.0300,13958.7536,-198.7236,
11855,13523.2400,14065.2863,-542.0463,
11363,13492.9300,13254.1308,238.7992,
11742,15337.3900,14784.6387,552.7513,
11743,12527.3400,13104.4370,-577.0970,
10559,19499.9300,17692.2173,1807.7127,
10561,20758.1100,27003.1098,-6244.9998,
10563,23376.2100,29776.5853,-6400.3753,
10671,29740.8500,26065.7659,3675.0841,
