IDs,Income,standard_predy,standard_resid
10434,15451.6300,14998.3642,453.2658,
10435,10992.8500,11694.1208,-701.2708,
10436,10294.8900,11344.3748,-1049.4848,
10440,13460.3900,11609.9162,1850.4738,
10442,12498.3000,12663.6963,-165.3963,
10443,12352.0700,12510.3112,-158.2412,
10444,11548.9900,12222.4084,-673.4184,
10445,11981.8400,12400.6007,-418.7607,
10446,11195.8000,11345.4230,-149.6230,
10553,12694.2800,13053.6229,-359.3429,
10554,14777.1300,19492.0506,-4714.9206,
10557,26649.5700,24711.3351,1938.2349,
10560,20021.2200,25324.4115,-5303.1915,
10562,19492.3300,24560.0997,-5067.7697,
10564,21802.8000,23203.0488,-1400.2488,
10672,26202.0900,23138.3392,3063.7508,
10682,22312.8900,20330.8546,1982.0354,
11362,14097.1200,13795.0424,302.0776,
10683,17602.3200,15835.1690,1767.1510,
11141,15545.3100,15223.0262,322.2838,
11142,14860.8400,14694.3892,166.4508,
10680,20829.7600,19427.3411,1402.4189,
10681,17452.1600,17302.6504,149.5096,
11143,14385.8500,14262.1856,123.6644,
11144,12658.3900,13002.6110,-344.2210,
11251,12832.5700,12716.8046,115.7654,
11252,12691.0700,12957.8882,-266.8182,
11253,12353.8200,11907.2527,446.5673,
11254,11962.8300,12197.2519,-234.4219,
11255,12706.4800,12822.3223,-115.8423,
11256,12276.8600,12333.8659,-57.0059,
11361,13991.2800,13321.9594,669.3206,
11364,13348.6200,13027.7675,320.8525,
11471,16776.1200,17028.6519,-252.5319,
11472,13897.0600,13947.0299,-49.9699,
11473,15240.1300,14663.9917,576.1383,
11474,13253.6700,13502.5975,-248.9275,
11475,13910.1400,13690.5728,219.5672,
11476,14297.4000,14611.2328,-313.8328,
11521,22815.9600,21580.5039,1235.4561,
11522,13544.7200,13357.5979,187.1221,
11523,14594.5500,13776.8738,817.6762,
11526,15937.0000,14905.0753,1031.9247,
11527,15642.3100,14414.8719,1227.4381,
11528,21283.9000,19859.9704,1423.9296,
11633,13768.4100,13552.5612,215.8488,
11634,16016.3800,16718.4160,-702.0360,
11635,15134.7300,14565.8112,568.9188,
11636,14985.6500,14963.4245,22.2255,
11741,13429.8900,13601.8261,-171.9361,
10438,11233.1300,11826.1927,-593.0627,
10439,11690.3900,11503.3503,187.0397,
10441,11780.0800,12462.0945,-682.0145,
10447,14937.0300,15095.4964,-158.4664,
10551,19782.8800,24270.2011,-4487.3211,
10552,15647.2100,18567.9987,-2920.7887,
11744,12496.7000,13118.2612,-621.5612,
11745,12299.6700,13220.2850,-920.6150,
11851,12613.3700,12987.9363,-374.5663,
11852,12088.4400,13026.3699,-937.9299,
11853,11988.7200,12292.2877,-303.5677,
11854,12175.6900,12723.4431,-547.7531,
10555,17664.3200,20719.7330,-3055.4130,
10556,18445.6600,20526.5167,-2080.8567,
10558,19871.2600,20022.3375,-151.0775,
10431,17885.7200,17786.5488,99.1712,
10432,17303.3800,18293.1738,-989.7938,
10433,16837.4300,16612.2269,225.2031,
10437,11588.6300,12405.8416,-817.2116,
10673,28401.3500,24257.6289,4143.7211,
10674,37644.1300,26700.3206,10943.8094,
10675,28192.5500,24940.2219,3252.3281,
10676,25006.1300,24003.2281,1002.9019,
10677,21019.8200,20243.8549,775.9651,
10678,21579.5600,19908.0403,1671.5197,
10679,22395.2400,21403.0150,992.2250,
11145,13267.4500,13232.1645,35.2855,
11257,17282.2000,15246.0864,2036.1136,
11524,16321.6600,15252.7249,1068.9351,
11525,16073.8100,15232.8093,841.0007,
11631,13125.8000,13617.1995,-491.3995,
11632,13760.0300,13946.3311,-186.3011,
11855,13523.2400,14054.9934,-531.7534,
11363,13492.9300,13227.6224,265.3076,
11742,15337.3900,14788.7262,548.6638,
11743,12527.3400,13074.9361,-547.5961,
10559,19499.9300,18512.9032,987.0268,
10561,20758.1100,26549.4550,-5791.3450,
10563,23376.2100,28943.3373,-5567.1273,
10671,29740.8500,25740.4012,4000.4488,
