IDs,Income,predy,resid
10434,15451.6300,15473.4303,-21.8003,
10435,10992.8500,12018.7024,-1025.8524,
10436,10294.8900,11653.0280,-1358.1380,
10440,13460.3900,11930.6629,1529.7271,
10442,12498.3000,13032.4351,-534.1351,
10443,12352.0700,12872.0644,-519.9944,
10444,11548.9900,12571.0497,-1022.0597,
10445,11981.8400,12757.3573,-775.5173,
10446,11195.8000,11654.1239,-458.3239,
10553,12694.2800,13440.1200,-745.8400,
10554,14777.1300,18819.6615,-4042.5315,
10557,26649.5700,23975.9991,2673.5709,
10560,20021.2200,24581.6816,-4560.4616,
10562,19492.3300,23826.5877,-4334.2577,
10564,21802.8000,22485.9034,-683.1034,
10672,26202.0900,22421.9743,3780.1157,
10682,22312.8900,21048.7775,1264.1125,
11362,14097.1200,14215.3059,-118.1859,
10683,17602.3200,16348.3456,1253.9744,
11141,15545.3100,15708.3241,-163.0141,
11142,14860.8400,15155.6114,-294.7714,
10680,20829.7600,18755.7324,2074.0276,
10681,17452.1600,16656.6664,795.4936,
11143,14385.8500,14703.7241,-317.8741,
11144,12658.3900,13386.7849,-728.3949,
11251,12832.5700,13087.9621,-255.3921,
11252,12691.0700,13340.0253,-648.9553,
11253,12353.8200,12241.5409,112.2791,
11254,11962.8300,12544.7475,-581.9175,
11255,12706.4800,13198.2854,-491.8054,
11256,12276.8600,12687.5833,-410.7233,
11361,13991.2800,13720.6774,270.6026,
11364,13348.6200,13413.0871,-64.4671,
11471,16776.1200,16385.9724,390.1476,
11472,13897.0600,14374.2153,-477.1553,
11473,15240.1300,15123.8296,116.3004,
11474,13253.6700,13909.5422,-655.8722,
11475,13910.1400,14106.0785,-195.9385,
11476,14297.4000,15068.6679,-771.2679,
11521,22815.9600,20882.9272,1933.0328,
11522,13544.7200,13757.9389,-213.2189,
11523,14594.5500,14196.3098,398.2402,
11526,15937.0000,15375.8928,561.1072,
11527,15642.3100,14863.3642,778.9458,
11528,21283.9000,19183.1440,2100.7560,
11633,13768.4100,13961.7814,-193.3714,
11634,16016.3800,16079.4781,-63.0981,
11635,15134.7300,15021.1777,113.5523,
11636,14985.6500,15436.8994,-451.2494,
11741,13429.8900,14013.2900,-583.4000,
10438,11233.1300,12156.7892,-923.6592,
10439,11690.3900,11819.2436,-128.8536,
10441,11780.0800,12821.6517,-1041.5717,
10447,14937.0300,15574.9863,-637.9563,
10551,19782.8800,23540.1854,-3757.3054,
10552,15647.2100,17906.7541,-2259.5441,
11744,12496.7000,13507.7022,-1011.0022,
11745,12299.6700,13614.3724,-1314.7024,
11851,12613.3700,13371.4419,-758.0719,
11852,12088.4400,13411.6259,-1323.1859,
11853,11988.7200,12644.1115,-655.3915,
11854,12175.6900,13094.9029,-919.2129,
10555,17664.3200,21455.3665,-3791.0465,
10556,18445.6600,21253.3506,-2807.6906,
10558,19871.2600,20726.2096,-854.9496,
10431,17885.7200,18388.5968,-502.8768,
10432,17303.3800,18918.2949,-1614.9149,
10433,16837.4300,17160.7930,-323.3630,
10437,11588.6300,12762.8370,-1174.2070,
10673,28401.3500,23527.7649,4873.5851,
10674,37644.1300,25940.9966,11703.1334,
10675,28192.5500,24202.1254,3990.4246,
10676,25006.1300,23276.4322,1729.6978,
10677,21019.8200,20957.8155,62.0045,
10678,21579.5600,19230.6342,2348.9258,
10679,22395.2400,20707.5788,1687.6612,
11145,13267.4500,13626.7930,-359.3430,
11257,17282.2000,15732.4345,1549.7655,
11524,16321.6600,15739.3753,582.2847,
11525,16073.8100,15718.5527,355.2573,
11631,13125.8000,14029.3636,-903.5636,
11632,13760.0300,14373.4847,-613.4547,
11855,13523.2400,14487.0958,-963.8558,
11363,13492.9300,13622.0439,-129.1139,
11742,15337.3900,15254.2449,83.1451,
11743,12527.3400,13462.4039,-935.0639,
10559,19499.9300,17852.3230,1647.6070,
10561,20758.1100,25791.9505,-5033.8405,
10563,23376.2100,28156.9615,-4780.7515,
10671,29740.8500,24992.6543,4748.1957,
